lon,lat,q
-127.782,47.7203,233.0
-127.783,47.72,249.0
-127.783,47.7179,252.0
-127.769,47.7184,306.0
-127.785,47.7175,355.0
-127.784,47.7175,415.0
-127.785,47.7164,441.0
-127.785,47.7155,531.0
-127.786,47.7146,698.0
-127.785,47.7147,994.0
-127.785,47.7141,1381.0
-127.786,47.7132,4037.0
-127.785,47.7157,1285.0
-127.739,47.7586,169.0
-127.742,47.7592,182.0
-127.744,47.7597,195.0
-127.747,47.7605,204.0
-127.749,47.7609,220.0
-127.752,47.7613,255.0
-127.754,47.7621,283.0
-127.757,47.7622,326.0
-127.76,47.7629,343.0
-127.763,47.7634,320.0
-127.765,47.7637,297.0
-127.767,47.7641,256.0
-127.77,47.7649,245.0
-127.772,47.7653,245.0
-127.775,47.7659,235.0
-127.778,47.7664,229.0
-127.781,47.7671,222.0
-127.783,47.7674,219.0
-127.785,47.768,213.0
-127.788,47.7686,197.0
-127.79,47.7691,198.0
-127.695,47.769,208.0
-127.697,47.7696,206.0
-127.699,47.77,202.0
-127.702,47.7707,205.0
-127.705,47.7711,205.0
-127.707,47.7716,198.0
-127.71,47.7721,176.0
-127.712,47.7726,178.0
-127.715,47.7732,180.0
-127.718,47.7737,182.0
-127.72,47.7742,191.0
-127.722,47.7746,190.0
-127.725,47.7753,196.0
-127.726,47.7755,202.0
-127.728,47.7759,197.0
-127.729,47.7761,196.0
-127.731,47.7763,198.0
-127.732,47.7766,198.0
-127.733,47.7768,198.0
-127.734,47.7772,212.0
-127.736,47.7772,203.0
-127.737,47.7776,215.0
-127.738,47.7778,229.0
-127.74,47.7781,254.0
-127.741,47.7783,279.0
-127.742,47.7784,300.0
-127.743,47.7789,315.0
-127.745,47.7789,334.0
-127.746,47.7793,341.0
-127.747,47.7798,342.0
-127.749,47.78,359.0
-127.75,47.7803,365.0
-127.752,47.7808,362.0
-127.753,47.781,361.0
-127.755,47.7814,361.0
-127.756,47.7815,345.0
-127.757,47.7817,325.0
-127.759,47.7822,319.0
-127.759,47.7822,330.0
-127.762,47.7829,296.0
-127.763,47.783,278.0
-127.767,47.7839,243.0
-127.769,47.7842,230.0
-127.772,47.785,229.0
-127.773,47.7852,226.0
-127.777,47.786,215.0
-127.778,47.7863,207.0
-127.78,47.7867,201.0
-127.783,47.7873,193.0
-127.786,47.7879,193.0
-127.788,47.7883,191.0
-127.792,47.7891,194.0
-127.794,47.7896,202.0
-127.797,47.79,207.0
-127.799,47.7905,195.0
-127.747,47.7601,199.0
-127.749,47.7605,217.0
-127.752,47.761,248.0
-127.753,47.7613,256.0
-127.753,47.7613,273.0
-127.755,47.7616,308.0
-127.757,47.762,320.0
-127.757,47.762,338.0
-127.759,47.7624,340.0
-127.76,47.7629,353.0
-127.761,47.7629,349.0
-127.762,47.7633,327.0
-127.763,47.7637,316.0
-127.765,47.7639,294.0
-127.766,47.7642,278.0
-127.767,47.7641,257.0
-127.769,47.7645,238.0
-127.77,47.7648,235.0
-127.771,47.7652,250.0
-127.773,47.7654,246.0
-127.774,47.7656,240.0
-127.788,47.7684,218.0
-127.79,47.7691,207.0
-127.793,47.7695,192.0
-127.796,47.7702,193.0
-127.798,47.7707,181.0
-127.8,47.7712,181.0
-127.803,47.7718,199.0
-127.806,47.7722,180.0
-127.809,47.7727,182.0
-127.811,47.7732,184.0
-127.813,47.7737,187.0
-127.6202,47.8655,556.0
-127.6462,47.9172,184.0
-127.623,47.8698,688.0
-127.6242,47.8762,184.0
-127.635,47.8935,187.0
-127.6388,47.8963,247.0
-127.6433,47.9113,251.0
-127.705,47.9008,959.0
-127.709,47.907,412.0
-127.7118,47.9108,216.0
-127.714,47.9172,265.0
-127.717,47.9208,327.0
-127.7207,47.9275,262.0
-127.723,47.9333,237.0
-127.725,47.937,267.0
-127.7333,47.9495,186.0
-127.7353,47.9553,171.0
-127.7383,47.9602,174.0
-127.6847,47.8692,184.0
-127.6892,47.8735,205.0
-127.6932,47.8792,231.0
-127.6957,47.8858,214.0
-127.699,47.8892,258.0
-127.7,47.8918,324.0
-127.7045,47.8953,489.0
-127.644,47.7953,260.0
-127.6462,47.8,179.0
-127.6575,47.8245,236.0
-127.6608,47.8277,180.0
-127.6642,47.8315,220.0
-127.6652,47.8373,186.0
-127.668,47.8422,199.0
-127.6708,47.8465,228.0
-127.6717,47.853,197.0
-127.6768,47.8553,188.0
-127.4857,47.8175,214.0
-127.562,47.8323,231.0
-127.5693,47.8352,261.0
-127.5763,47.836,362.0
-127.583,47.8385,189.0
-127.5905,47.839,212.0
-127.5975,47.8417,181.0
-127.6042,47.8425,187.0
-127.6083,47.8435,232.0
-127.4907,47.8183,172.0
-127.4998,47.8192,206.0
-127.507,47.82,199.0
-127.7215,47.8363,1091.0
-127.8087,47.8503,224.0
