lon,lat,q
-116.9,40.595,268.2
-116.86,40.5533,204.8
-116.81,40.94,224.2
-116.63,40.995,239.1
-116.86,40.9583,189.3
-116.78,40.915,335.8
-116.7,40.91,243.9
-116.62,40.9333,183.5
-118.13,40.9983,1187.7
-117.06,40.4217,276.6
-118.12,40.995,1272.8
-118.12,40.995,1613.2
-118.12,40.9983,1369.0
-118.12,40.9967,1639.1
-118.12,40.9983,1794.5
-117.35,40.2233,170.4
-118.15,40.975,314.5
-118.15,40.975,1594.7
-118.13,40.9917,2730.6
-118.15,40.9883,525.4
-118.12,40.9917,1158.1
-117.26,40.5267,360.5
-116.25,43.8367,172.0
-118.57,39.3583,4586.4
-111.19,45.66,404.6
-120.95,41.12,289.0
-120.03,43.5167,170.7
-111.93,42.095,218.4
-111.94,42.155,698.8
-111.94,42.155,993.6
-111.95,42.175,200.2
-111.84,42.165,342.4
-111.92,42.1267,276.6
-119.34,40.7783,294.8
-119.34,40.87,979.5
-119.36,40.7817,866.3
-119.36,40.9033,216.6
-119.24,40.8417,221.7
-121.91,44.795,181.0
-121.91,44.8,181.0
-112.11,46.595,644.0
-117.17,43.7383,560.0
-117.19,38.8117,185.9
-116.18,43.6333,564.0
-116.18,43.6167,499.1
-116.18,43.6167,920.0
-117.18,38.8217,271.6
-117.23,43.98,361.2
-117.23,43.98,460.6
-117.23,43.98,553.0
-117.23,43.98,386.4
-117.23,43.98,952.0
-117.23,43.98,719.2
-117.32,40.3633,270.0
-118.11,40.025,171.1
-117.91,39.9983,222.5
-118.01,40.0867,233.0
-118.03,40.06,203.8
-118.02,40.0367,385.8
-117.99,40.0583,783.5
-104.58,30.0233,738.9
-104.59,30.005,263.9
-104.59,29.9917,345.8
-118.01,40.0533,344.0
-104.61,29.9767,414.2
-118.2,39.945,186.6
-104.55,29.9667,236.0
-111.94,42.1267,403.3
-111.94,42.1267,3096.9
-111.66,43.6217,230.0
-111.66,43.62,230.0
-117.94,37.8433,242.2
-118.27,40.5317,419.0
-118.25,40.55,545.3
-121.76,42.23,1162.0
-117.17,43.91,222.0
-117.84,36.0367,1019.0
-117.84,36.0367,384.0
-117.84,36.0367,968.0
-114.88,37.8017,320.6
-114.92,37.915,344.4
-114.97,37.8267,287.0
-114.9,37.8083,229.6
-121.99,42.8983,481.0
-121.99,42.9,481.0
-117.18,43.925,234.0
-117.97,39.24,184.3
-113.57,43.5967,247.0
-113.57,43.5967,285.0
-113.57,43.6,247.0
-119.4,40.3617,309.4
-119.4,40.3767,1510.6
-119.42,40.3617,498.7
-119.71,39.3883,217.9
-113.56,37.6583,3000.0
