lat,lon,q,dist_min_km,dist_gem_km,dist_pb_km
-62.71,-50.38,77.0,493.5846150783439,493.5846150783439,493.6588206290233
-62.66,136.56,46.0,1657.7982161931095,1657.8360114466461,1657.7982161931095
-62.6402,-50.9361,106.0,446.3396586000244,448.78021369901575,446.3396586000244
-62.6402,-50.9361,106.0,446.3396586000244,448.78021369901575,446.3396586000244
-62.63,108.0,68.0,2581.718083270827,2581.718083270827,2581.7523441157064
-62.5665,-50.788,82.0,441.1726816547253,441.1726816547253,441.25041065157035
-62.5665,-50.788,82.0,441.1726816547253,441.1726816547253,441.25041065157035
-62.56,-9.31,27.0,1008.1124334058117,1008.1772266760685,1008.1124334058117
-62.5,-101.933,59.0,2482.5787824756394,2482.5787824756394,2482.643062236528
-62.5,-101.931,59.0,2482.744987058385,2482.744987058385,2482.8092625162485
-62.48,67.59,41.0,4070.261669123083,4070.261669123083,4070.2757370671993
-62.4177,-50.5059,66.0,425.01817412871736,425.01817412871736,425.0890002609218
-62.4177,-50.5059,66.0,425.01817412871736,425.01817412871736,425.0890002609218
-62.3983,-43.45,64.0,416.64827627570196,416.64827627570196,416.67487921372015
-62.2683,-50.2247,99.0,404.03821586870225,404.0581238681649,404.03821586870225
-62.2683,-50.2247,99.0,404.03821586870225,404.0581238681649,404.03821586870225
-62.22,-49.16,75.0,440.9125141730946,440.9889482024449,440.9125141730946
-62.22,-40.9617,75.8,292.75879977435,292.76306814510065,292.75879977435
-62.2067,-40.9917,72.0,289.2933757152213,289.2971811968212,289.2933757152213
-62.1933,-41.025,81.3,285.810620619611,285.8138949579464,285.810620619611
-62.1872,-50.075,95.0,391.99679050614,392.047984482853,391.99679050614
-62.1872,-50.075,95.0,391.99679050614,392.047984482853,391.99679050614
-62.1833,-41.055,78.3,283.2034018419394,283.2061812500128,283.2034018419394
-62.1767,-41.075,72.2,281.5014017072293,281.50384575354997,281.5014017072293
-62.17,-41.1583,59.0,279.54826978926036,279.5492538860693,279.54826978926036
-62.1683,-41.2217,60.8,279.0764466614463,279.0764466614463,279.0765869771281
-62.1683,-41.105,86.5,279.3368565951907,279.3387872363753,279.3368565951907
-62.165,-41.3,63.4,278.45295956432875,278.45295956432875,278.45449402811886
-62.1617,-41.4767,91.0,279.0382514109747,279.0382514109747,279.04292150499003
-62.16,-41.545,88.0,279.53549679193964,279.53549679193964,279.5413696731281
-62.1567,-41.355,72.6,276.7552721375016,276.7552721375016,276.75780108156283
-62.155,-41.41,70.7,276.7660109759063,276.7660109759063,276.7695248476467
-62.15,-41.4633,90.6,276.1113068698157,276.1113068698157,276.11578591299707
-62.1424,-50.0047,114.0,384.8670763151723,384.93375715724864,384.8670763151723
-62.1424,-50.0047,114.0,384.8670763151723,384.93375715724864,384.8670763151723
-62.1383,-109.258,85.0,1878.01142742874,1878.01142742874,1878.0919408889436
-62.1383,-109.256,85.0,1878.134471934226,1878.134471934226,1878.2149801198793
-62.1,-50.47,96.0,356.732740972651,356.7375056165491,356.732740972651
-62.0967,-104.888,61.0,2177.7089644028483,2177.7089644028483,2177.7779586830784
-62.0967,-104.886,61.1,2177.8648074255443,2177.8648074255443,2177.933796768858
-62.093,-49.9081,107.0,377.7901745002456,377.87667030071174,377.7901745002456
-62.093,-49.9081,107.0,377.7901745002456,377.87667030071174,377.7901745002456
-62.07,74.24,46.0,3724.074499154307,3724.074499154307,3724.1329315766266
-62.03,-48.41,74.0,452.9608452907217,453.0157280525401,452.9608452907217
-62.02,-50.16,83.0,351.48500170335086,351.5439450254425,351.48500170335086
-62.007,-49.751,117.0,365.7202438045818,365.80469789765317,365.7202438045818
-62.007,-49.751,117.0,365.7202438045818,365.80469789765317,365.7202438045818
-62.0,-52.0,82.0,252.6699375624891,257.183911785918,252.6699375624891
-62.0,-20.0,23.9,278.74947958085556,278.74947958085556,278.80008983901894
-61.98667,-174.0,69.0,657.4861702024592,657.4861702024592,657.5776808818372
-61.9333,-107.755,34.0,1937.0674873552778,1937.0674873552778,1937.1431193235615
-61.9317,-107.755,34.3,1936.771136872179,1936.771136872179,1936.8467615318675
